jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
9,22.5,22.26701793397256,-0.23298206602743932,183.72729886032772,cross,tertiary,Place Carnot,283271641,45.851909821932665,5.056898931596019
9,22.5,22.267362909020324,-0.23263709097967578,183.44814816123687,cross,tertiary,Grande Rue,23211134,45.85191233726708,5.0569
9,22.5,22.27516526085443,-0.22483473914557095,177.36999680272456,cross,tertiary,Rue Notre-Dame-des-Marais,1100783642,45.85198,5.056896402798233
9,22.5,22.31862503536811,-0.18137496463188896,143.42434172315208,cross,tertiary,Rue Notre-Dame-des-Marais,8109824,45.852349671231465,5.056935236099671
9,22.5,22.37963359424289,-0.12036640575711033,95.02416114540225,cross,service,,1097203840,45.852874927143596,5.0571299525586175
9,22.5,22.412540359507897,-0.08745964049210286,69.54495613717188,cross,secondary,Avenue Pierre Cormorèche,8109826,45.85312958071197,5.057334318656955
9,22.5,22.459613457086213,-0.04038654291378663,27.84035679301703,cross,secondary,Avenue des Sports,723386640,45.85328739825708,5.057842601742919
9,22.5,22.485445772056462,-0.014554227943538223,12.774383848138564,cross,secondary,Cours de la Portelle,8109823,45.85320562050927,5.0580909128009965
9,22.5,22.60121265240696,0.10121265240696076,98.55909239649976,cross,service,,428811096,45.8538977750537,5.059129055376255
9,22.5,22.67998691154004,0.1799869115400412,177.30800937805606,cross,residential,Rue du Chatel,428874507,45.85436529328677,5.059893267872607
9,22.5,22.817104641786468,0.317104641786468,313.82126949239574,cross,residential,Chemin de la Croix-Blanche,125657366,45.85529828502189,5.061049823328079
9,22.5,22.98512499413797,0.48512499413796917,480.6628204746763,cross,service,,428874516,45.856337330919885,5.0626047320787215
9,22.5,23.175419037989986,0.675419037989986,660.0821346642813,cross,service,Lotissement les Entremonts,412741569,45.85699101126384,5.064866629327333
9,22.5,23.456802566447116,0.9568025664471165,932.8195638336829,cross,residential,Rue des Granges,156368738,45.8579400568582,5.068227883792825
10,25.0,25.0,0.0,268.372312452122,near,secondary,Route de Bourg,384007457,45.8652107,5.0792807
11,27.5,27.007197632151954,-0.49280236784804643,244.7005590770911,cross,tertiary,Chemin de la Léchère,156368699,45.876756372107344,5.091683470158192
11,27.5,27.049304485229378,-0.4506955147706222,215.0925514813506,cross,tertiary,Chemin de la Léchère,384805491,45.87682035080217,5.091161754010844
11,27.5,27.075928831561008,-0.4240711684389922,209.79026277987157,cross,tertiary,Chemin de la Léchère,412741471,45.87674841798691,5.090835081123351
11,27.5,27.198843665831923,-0.30115633416807697,257.78163485992707,cross,tertiary,Chemin de la Léchère,412741472,45.876134658510104,5.08951456830962
12,30.0,30.0,0.0,0.0,,,,,45.891093296730475,5.1102740150901065
13,32.5,32.00097317761813,-0.4990268223818717,468.6458741652649,cross,unclassified,Chemin de la Côte Voyant,384006807,45.897963264311876,5.124802405089128
13,32.5,32.01380095274437,-0.48619904725563146,457.54869827947584,cross,unclassified,Route de Bressolles,156368768,45.897911231868186,5.124950352760341
13,32.5,32.426644354560324,-0.07335564543967621,73.355628096195,cross,unclassified,Chemin des Vivannes,188675438,45.897811390504266,5.130061146904583
13,32.5,32.8528848714147,0.3528848714147017,349.5681308709964,cross,unclassified,Route de Bourg Saint-Christophe,69134925,45.899009531515304,5.135206535560846
13,32.5,32.85443652693142,0.3544365269314227,350.9397799797354,cross,unclassified,,68992658,45.899019101157066,5.135221129264525
13,32.5,33.51893280306075,1.0189328030607498,998.1005551568664,cross,unclassified,,68992621,45.90200140567938,5.142519417321448
14,35.0,34.03504420081626,-0.9649557991837412,953.4109298398604,cross,unclassified,,68992627,45.90226000116063,5.149129974079315
14,35.0,34.442062724367,-0.5579372756330017,551.3794641051123,cross,unclassified,,68992624,45.902874067527385,5.1542506245515565
14,35.0,34.98673871521901,-0.013261284780988092,13.25076287137813,cross,unclassified,,68992658,45.903574927459495,5.16114079681095
14,35.0,35.186074600708565,0.18607460070856519,171.32421467846382,cross,unclassified,,68992656,45.9040680665411,5.163415755102758
14,35.0,35.677463609848935,0.6774636098489353,584.7045930359083,cross,unclassified,Chemin de Ramboz,68992654,45.90224029314012,5.1685816009960295
14,35.0,35.72837419172779,0.728374191727788,629.2857873524802,cross,unclassified,Chemin de la Pierrière,383997053,45.9023567957525,5.169217884494442
