;;Généré par gpx_to_altitude_csv.py depuis parcours.gpx
Distance (m); Altitude (m)
161700;524.4
161800;523.0
161900;518.2
162000;514.0
162100;514.2
162200;514.4
162300;514.7
162400;515.0
162500;517.5
162600;518.4
162700;521.2
162800;519.1
162900;519.0
163000;521.0
163100;523.4
163200;521.8
163300;524.3
163400;525.0
163500;525.6
163600;523.0
163700;521.8
163800;520.3
163900;517.5
164000;518.0
164100;518.0
164200;516.6
164300;514.9
164400;513.0
164500;512.0
164600;511.9
164700;510.7
164800;511.6
164900;514.1
165000;515.0
165100;515.5
165200;516.3
165300;517.0
165400;517.8
165500;520.0
165600;522.0
165700;523.3
165800;523.1
165900;521.0
166000;521.0
166100;520.1
166200;521.6
166300;522.7
166400;523.1
166500;526.9
166600;527.2
166700;529.0
166800;528.2
166900;529.1
167000;528.4
167100;524.3
167200;525.1
167300;526.6
167400;528.2
167500;528.1
167600;527.5
167700;527.0
167800;531.0
167900;529.3
168000;528.1
168100;526.2
168200;524.4
168300;523.0
168400;522.3
168500;522.0
168600;522.0
168700;520.1
168800;522.0
168900;522.0
169000;522.6
169100;523.9
169200;525.0
169300;525.9
169400;526.0
169500;526.5
169600;527.9
169700;528.3
169800;526.1
169900;524.3
170000;523.9
170100;523.5
170200;523.0
170300;525.7
170400;528.6
170500;531.3
170600;534.0
170700;534.1
170800;532.4
170900;533.0
171000;534.0
171100;533.3
171200;532.9
171300;532.5
171400;532.2
171500;531.9
171600;531.6
171700;531.3
171800;530.9
171900;529.9
172000;528.8
172100;527.7
172200;527.5
172300;528.0
172400;528.0
172500;528.0
172600;529.9
172700;531.0
172800;531.5
172900;533.2
173000;531.2
173100;527.0
173200;527.0
173300;528.3
173400;530.0
173500;527.9
173600;525.6
173700;526.9
173800;527.8
173900;528.3
174000;528.8
174100;529.8
174200;531.6
174300;531.4
174400;530.5
174500;529.4
174600;527.8
174700;526.5
174800;525.5
174900;525.4
175000;526.0
175100;526.0
175200;525.4
175300;525.0
175400;525.0
175500;526.7
175600;528.0
175700;527.4
175800;526.2
175900;526.5
176000;527.1
176100;527.6
176200;528.8
176300;532.0
176400;534.1
176500;537.2
176600;538.0
176700;538.0
176800;537.1
176900;539.5
177000;540.0
177100;540.9
177200;544.1
177300;547.1
177400;550.2
177500;551.4
177600;550.1
177700;541.2
177800;540.7
177900;540.1
178000;540.0
178100;541.3
178200;543.0
178300;543.4
178400;546.4
178500;549.5
178600;551.2
178700;552.7
178800;554.3
178900;554.6
179000;553.9
179100;553.2
179200;552.5
179300;553.0
179400;556.2
179500;557.8
179600;559.4
179700;558.1
179800;555.6
179900;552.4
180000;549.7
180100;551.7
180200;554.5
180300;555.7
180400;555.1
180500;556.0
180600;555.4
180700;555.2
180800;557.9
180900;556.8
181000;556.2
181100;555.6
181200;555.0
181300;556.9
181400;558.0
181500;558.0
181600;556.0
181700;557.3
181800;560.4
181900;561.1
182000;561.5
182100;562.0
182200;562.0
182300;559.8
182400;562.3
182500;564.5
182600;566.1
182700;567.1
182800;568.0
182900;568.0
183000;567.3
183100;566.5
183200;569.1
183300;573.5
183400;574.5
183500;575.0
183600;575.8
183700;576.0
183800;576.6
183900;576.5
184000;578.4
184100;580.4
184200;581.9
184300;575.6
184400;576.7
184500;575.6
184600;572.0
184700;572.9
184800;571.0
184900;571.3
185000;571.7
185100;572.1
185200;573.9
185300;575.8
185400;574.0
185500;571.9
185600;572.1
185700;574.0
185800;576.1
185900;578.6
186000;579.5
186100;578.3
186200;571.4
186300;573.1
186400;580.8
186500;585.1
186600;591.5
186700;600.8
186800;601.0
186900;601.3
187000;601.2
187100;600.0
187200;601.5
187300;602.5
187400;603.1
187500;603.8
187600;604.5
187700;605.2
187800;605.9
187900;606.6
188000;606.1
188100;604.1
188200;602.1
188300;600.0
188400;598.0
188500;596.0
188600;595.0
188700;594.1
188800;595.7
188900;597.4
189000;601.2
189100;605.3
189200;605.3
189300;603.4
189400;600.6
189500;597.8
189600;596.0
189700;593.8
189800;592.0
189900;592.1
190000;594.6
190100;596.7
190200;597.5
190300;598.1
190400;598.7
190500;601.6
190600;607.3
190700;607.2
190800;603.9
190900;602.7
191000;608.9
191100;611.2
191200;597.7
191300;584.0
191400;567.2
191500;557.9
191600;553.3
191700;543.0
191800;534.7
191900;525.9
192000;507.1
192100;491.3
192200;483.0
192300;479.8
192400;476.5
192500;471.3
192600;466.1
192700;462.2
192800;460.6
192900;459.1
193000;456.0
193100;453.8
193200;449.4
193300;445.3
193400;441.3
193500;435.6
193600;417.0
193700;404.7
193800;388.5
193900;373.1
194000;362.9
194100;351.4
194200;334.2
194300;324.4
194400;316.7
194500;313.0
194600;309.2
194700;305.9
194800;303.0
194900;299.6
195000;297.8
195100;295.1
195200;293.3
195300;292.1
195400;294.9
195500;298.2
195600;303.0
195700;301.2
195800;298.2
195900;296.1
196000;297.0
196100;293.0
196200;288.3
196300;284.0
196400;284.0
196500;287.6
196600;289.0
196700;291.6
196800;293.6
196900;296.8
197000;301.0
197100;303.0
197200;309.1
197300;309.0
197400;308.3
